Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2018-05-02,NIFTY,2018-05-31,PE,9500.0,6.9,6.9,5.4,5.85,6.0,5.85,4701,3351547000.0,2084000.0,1068525,15300,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9550.0,0.0,0.0,0.0,1043.55,0.0,1217.65,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9550.0,0.0,0.0,0.0,27.25,0.0,0.05,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9600.0,1156.15,1163.0,1125.0,1125.0,1125.0,1125.0,30,24201000.0,2601000.0,126450,-1125,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9600.0,7.0,7.8,6.35,7.05,6.9,7.05,4954,3569501000.0,2621000.0,1240500,15600,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9650.0,0.0,0.0,0.0,955.25,0.0,1118.2,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9650.0,0.0,0.0,0.0,20.0,20.0,0.05,0,0.0,0.0,225,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9700.0,1063.0,1074.45,1018.8,1033.4,1034.9,1033.4,73,58903000.0,5795000.0,78900,-4125,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9700.0,8.35,9.7,7.8,8.45,8.3,8.45,9497,6915182000.000001,6115000.0,1455375,-72450,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9750.0,0.0,0.0,0.0,869.6,0.0,1018.8,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9750.0,0.0,0.0,0.0,45.25,45.25,0.15,0,0.0,0.0,75,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9800.0,967.8,967.8,926.0,937.9,937.45,937.9,29,23381000.0,2066000.0,105225,-600,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9800.0,9.65,11.2,8.9,9.7,9.35,9.7,8943,6579689000.0,6584000.0,778200,-84525,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9850.0,0.0,0.0,0.0,786.95,0.0,919.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9850.0,0.0,0.0,0.0,11.9,11.9,0.4,0,0.0,0.0,150,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9900.0,875.0,881.0,835.0,836.0,843.0,836.0,42,33898000.0,2713000.0,80100,-2775,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9900.0,10.9,13.6,10.25,11.45,11.05,11.45,10842,8059561000.0,9376000.0,904125,-5250,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9950.0,0.0,0.0,0.0,707.75,0.0,820.75,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9950.0,10.0,14.6,10.0,13.1,12.55,13.1,455,339997000.0,453000.0,18600,8625,10718.05
