,Strike Price
0,8500.00
1,8550.00
2,8600.00
3,8650.00
4,8700.00
5,8750.00
6,8800.00
7,8850.00
8,8900.00
9,8950.00
10,9000.00
11,9050.00
12,9100.00
13,9150.00
14,9200.00
15,9250.00
16,9300.00
17,9350.00
18,9400.00
19,9450.00
20,9500.00
21,9550.00
22,9600.00
23,9650.00
24,9700.00
25,9750.00
26,9800.00
27,9850.00
28,9900.00
29,9950.00
30,10000.00
31,10050.00
32,10100.00
33,10150.00
34,10200.00
35,10250.00
36,10300.00
37,10350.00
38,10400.00
39,10450.00
40,10500.00
41,10550.00
42,10600.00
43,10650.00
44,10700.00
45,10750.00
46,10800.00
47,10850.00
48,10900.00
49,10950.00
50,11000.00
51,11050.00
52,11100.00
53,11150.00
54,11200.00
55,11250.00
56,11300.00
57,11350.00
58,11400.00
59,11450.00
60,11500.00
61,11550.00
62,11600.00
63,11650.00
64,11700.00
65,11750.00
66,11800.00
67,11850.00
68,11900.00
69,11950.00
70,12000.00
71,12050.00
72,12100.00
73,12150.00
74,12200.00
