Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-January-1991,240.00,240.00,210.00,210.00,0.000000000000000000,0,0,0.00,,,30.00,-30.00
31-January-1991,225.00,230.00,225.00,230.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
7-February-1991,225.00,225.00,225.00,225.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
8-February-1991,225.00,225.00,225.00,225.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
15-February-1991,220.00,220.00,220.00,220.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
20-February-1991,235.00,235.00,235.00,235.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
27-February-1991,270.00,270.00,270.00,270.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
5-March-1991,260.00,300.00,260.00,300.00,0.000000000000000000,0,0,0.00,,,40.00,40.00
20-March-1991,265.00,265.00,265.00,265.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
21-March-1991,262.50,262.50,262.50,262.50,0.000000000000000000,0,0,0.00,,,0.00,0.00
22-March-1991,260.00,265.00,260.00,265.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
25-March-1991,260.00,265.00,260.00,265.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
26-March-1991,250.00,250.00,250.00,250.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
27-March-1991,230.00,230.00,230.00,230.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
4-April-1991,275.00,290.00,275.00,290.00,0.000000000000000000,0,0,0.00,,,15.00,15.00
5-April-1991,285.00,295.00,285.00,295.00,0.000000000000000000,0,0,0.00,,,10.00,10.00
9-April-1991,295.00,295.00,295.00,295.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
11-April-1991,285.00,285.00,285.00,285.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
15-April-1991,290.00,290.00,270.00,270.00,0.000000000000000000,0,0,0.00,,,20.00,-20.00
16-April-1991,290.00,290.00,290.00,290.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
18-April-1991,290.00,290.00,280.00,280.00,0.000000000000000000,0,0,0.00,,,10.00,-10.00
19-April-1991,300.00,300.00,290.00,290.00,0.000000000000000000,0,0,0.00,,,10.00,-10.00
22-April-1991,290.00,290.00,280.00,280.00,0.000000000000000000,0,0,0.00,,,10.00,-10.00
25-April-1991,290.00,290.00,290.00,290.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
29-April-1991,285.00,285.00,285.00,285.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
3-May-1991,295.00,295.00,280.00,280.00,0.000000000000000000,0,0,0.00,,,15.00,-15.00
6-May-1991,285.00,285.00,285.00,285.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
8-May-1991,285.00,295.00,285.00,295.00,0.000000000000000000,0,0,0.00,,,10.00,10.00
9-May-1991,290.00,292.50,290.00,292.50,0.000000000000000000,0,0,0.00,,,2.50,2.50
10-May-1991,295.00,295.00,295.00,295.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
13-May-1991,290.00,297.50,290.00,295.00,0.000000000000000000,0,0,0.00,,,7.50,5.00
14-May-1991,295.00,300.00,295.00,295.00,0.000000000000000000,0,0,0.00,,,5.00,0.00
16-May-1991,295.00,297.50,295.00,297.50,0.000000000000000000,0,0,0.00,,,2.50,2.50
17-May-1991,300.00,300.00,300.00,300.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
21-May-1991,290.00,300.00,290.00,300.00,0.000000000000000000,0,0,0.00,,,10.00,10.00
27-May-1991,310.00,310.00,310.00,310.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
30-May-1991,310.00,310.00,300.00,300.00,0.000000000000000000,0,0,0.00,,,10.00,-10.00
