Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-November-1998,17.75,17.75,13.55,17.00,16.057142857142857142,4200,27,67440.00,,,4.20,-0.75
30-November-1998,16.25,16.50,15.50,16.05,15.895454545454545454,26400,99,419640.00,,,1.00,-0.20
1-December-1998,16.45,17.30,16.10,16.95,16.879959514170040485,24700,115,416935.00,,,1.20,0.50
2-December-1998,16.80,17.20,16.60,16.95,16.988741721854304635,15100,70,256530.00,,,0.60,0.15
3-December-1998,17.20,17.45,16.85,16.95,17.152941176470588235,20400,90,349920.00,,,0.60,-0.25
4-December-1998,16.70,17.05,16.50,16.95,18.723591549295774647,14200,49,265875.00,,,0.55,0.25
7-December-1998,16.90,17.20,16.75,16.90,16.933653846153846153,5200,29,88055.00,,,0.45,0.00
8-December-1998,16.90,17.00,16.15,16.20,16.510000000000000000,6500,33,107315.00,,,0.85,-0.70
9-December-1998,16.45,16.70,16.15,16.20,16.301666666666666666,3000,18,48905.00,,,0.55,-0.25
10-December-1998,16.20,16.35,15.95,16.00,16.077777777777777777,7200,32,115760.00,,,0.40,-0.20
11-December-1998,16.10,16.20,15.60,15.80,15.893333333333333333,7500,35,119200.00,,,0.60,-0.30
14-December-1998,16.30,16.30,15.80,15.90,15.906756756756756756,3700,17,58855.00,,,0.50,-0.40
15-December-1998,16.00,16.00,15.75,15.75,15.788235294117647058,1700,7,26840.00,,,0.25,-0.25
16-December-1998,15.70,15.80,15.50,15.65,15.567441860465116279,8600,22,133880.00,,,0.30,-0.05
17-December-1998,15.15,15.60,15.15,15.40,15.444642857142857142,2800,15,43245.00,,,0.45,0.25
18-December-1998,15.30,15.60,14.95,15.00,15.114827586206896551,14500,52,219165.00,,,0.65,-0.30
21-December-1998,15.75,15.80,15.25,15.25,15.486619718309859154,7100,23,109955.00,,,0.55,-0.50
22-December-1998,15.35,15.35,15.00,15.30,15.202272727272727272,4400,23,66890.00,,,0.35,-0.05
23-December-1998,15.20,15.35,15.00,15.20,15.203750000000000000,4000,20,60815.00,,,0.35,0.00
24-December-1998,14.60,15.30,14.60,15.00,14.935344827586206896,5800,31,86625.00,,,0.70,0.40
28-December-1998,15.00,15.35,15.00,15.00,15.081818181818181818,2200,15,33180.00,,,0.35,0.00
29-December-1998,15.05,15.50,15.00,15.25,15.135416666666666666,4800,15,72650.00,,,0.50,0.20
30-December-1998,15.65,17.70,15.65,17.05,17.021276595744680851,9400,43,160000.00,,,2.05,1.40
31-December-1998,17.00,17.00,16.05,16.20,16.459278350515463917,9700,40,159655.00,,,0.95,-0.80
1-January-1999,16.60,16.70,16.15,16.35,16.038370370370370370,67500,29,1082590.00,,,0.55,-0.25
4-January-1999,17.00,17.70,17.00,17.05,17.074500000000000000,10000,28,170745.00,,,0.70,0.05
5-January-1999,16.80,16.80,15.85,16.00,16.215340909090909090,8800,33,142695.00,,,0.95,-0.80
